system   D            wsystem.c:583  maybe_parent_dir                 [   0.00089] Also searching C:\Users\polack-admin\Desktop\SimpleShooter\
display  D   display_settings.c:377  _al_score_display_settings       [   0.01591] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01592] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01593] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01593] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01594] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01595] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01596] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01597] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01598] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01599] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01600] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01600] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01601] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01602] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01603] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01604] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01605] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01606] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01607] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01607] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01608] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01609] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01610] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.01611] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01612] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [   0.01612] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01613] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.01614] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01615] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.01616] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01617] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [   0.01618] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01619] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.01620] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01621] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.01621] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01622] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [   0.01623] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01624] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.01625] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01626] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.01626] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01627] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [   0.01628] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01629] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.01630] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01631] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.01632] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01633] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [   0.01633] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01634] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.01635] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01636] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.01637] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01638] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [   0.01639] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01640] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.01640] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01641] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.01642] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01643] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [   0.01644] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01645] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.01646] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01647] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01647] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01648] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01649] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01650] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01651] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01652] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01653] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01654] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01655] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01655] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01656] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01657] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01658] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01659] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01660] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01661] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01662] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01663] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01664] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01665] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01666] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01666] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01667] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01668] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01669] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01670] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01671] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01672] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01673] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01674] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01675] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01676] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01676] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01677] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01678] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01679] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01680] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01681] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01682] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01683] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01683] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01684] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01685] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01686] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01687] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01688] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01689] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01690] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01691] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01691] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01692] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01693] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01694] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01695] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01696] color: 0 (rgba 0000), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:217  _al_score_display_settings       [   0.01697] Display not compatible with Allegro.
display  D   display_settings.c:191  debug_display_settings           [   0.01698] color: 0 (rgba 0000), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:217  _al_score_display_settings       [   0.01699] Display not compatible with Allegro.
display  D   display_settings.c:191  debug_display_settings           [   0.01700] color: 0 (rgba 0000), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:217  _al_score_display_settings       [   0.01701] Display not compatible with Allegro.
display  D   display_settings.c:191  debug_display_settings           [   0.01701] color: 0 (rgba 0000), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:217  _al_score_display_settings       [   0.01702] Display not compatible with Allegro.
d3d      D         d3d_disp.cpp:1838 d3d_create_display_internals     [   0.01706] Trying format 0 of 188.
d3d      I         d3d_disp.cpp:1516 d3d_display_thread_proc          [   0.01767] Chose a display format: 23
d3d      I         d3d_disp.cpp:1585 d3d_display_thread_proc          [   0.01770] Normal window.
d3d      I         d3d_disp.cpp:992  d3d_create_device                [   0.02844] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:1057 d3d_create_device                [   0.03101] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:1065 d3d_create_device                [   0.03105] Success
d3d      D         d3d_disp.cpp:1861 d3d_create_display_internals     [   0.03107] Resumed after wait.
d3d      I         d3d_disp.cpp:1886 d3d_create_display_internals     [   0.03113] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03366] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03371] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03372] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03373] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03374] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03374] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03375] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03376] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03377] Fake format
d3d      D         d3d_disp.cpp:1364 real_choose_bitmap_format        [   0.03378] Alpha doesn't match
d3d      D         d3d_disp.cpp:1371 real_choose_bitmap_format        [   0.03379] Adapter format is 23
d3d      D         d3d_disp.cpp:1374 real_choose_bitmap_format        [   0.03380] Found a format
d3d      I         d3d_disp.cpp:2448 _al_d3d_create_bitmap            [   0.03382] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.03414] added dtor for object 0045F9D8, func 5210256D
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03492] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03493] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03494] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03495] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03496] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03497] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03498] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03499] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03500] Fake format
d3d      D         d3d_disp.cpp:1364 real_choose_bitmap_format        [   0.03501] Alpha doesn't match
d3d      D         d3d_disp.cpp:1371 real_choose_bitmap_format        [   0.03502] Adapter format is 23
d3d      D         d3d_disp.cpp:1374 real_choose_bitmap_format        [   0.03503] Found a format
d3d      I         d3d_disp.cpp:2448 _al_d3d_create_bitmap            [   0.03504] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.03723] added dtor for object 0045FB78, func 5210256D
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03739] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03742] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03743] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03745] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03748] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03752] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03756] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03758] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03759] Fake format
d3d      D         d3d_disp.cpp:1364 real_choose_bitmap_format        [   0.03760] Alpha doesn't match
d3d      D         d3d_disp.cpp:1371 real_choose_bitmap_format        [   0.03763] Adapter format is 23
d3d      D         d3d_disp.cpp:1374 real_choose_bitmap_format        [   0.03765] Found a format
d3d      I         d3d_disp.cpp:2448 _al_d3d_create_bitmap            [   0.03767] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.03800] added dtor for object 0045FD20, func 5210256D
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03816] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03819] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03821] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03822] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03823] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03825] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03826] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03827] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03829] Fake format
d3d      D         d3d_disp.cpp:1364 real_choose_bitmap_format        [   0.03830] Alpha doesn't match
d3d      D         d3d_disp.cpp:1371 real_choose_bitmap_format        [   0.03832] Adapter format is 23
d3d      D         d3d_disp.cpp:1374 real_choose_bitmap_format        [   0.03834] Found a format
d3d      I         d3d_disp.cpp:2448 _al_d3d_create_bitmap            [   0.03835] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.03881] added dtor for object 0045FEE0, func 5210256D
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03892] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03893] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03894] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03895] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03896] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03897] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03898] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03899] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03900] Fake format
d3d      D         d3d_disp.cpp:1364 real_choose_bitmap_format        [   0.03901] Alpha doesn't match
d3d      D         d3d_disp.cpp:1371 real_choose_bitmap_format        [   0.03901] Adapter format is 23
d3d      D         d3d_disp.cpp:1374 real_choose_bitmap_format        [   0.03902] Found a format
d3d      I         d3d_disp.cpp:2448 _al_d3d_create_bitmap            [   0.03903] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.03932] added dtor for object 040E0168, func 5210256D
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03940] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03942] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03943] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03943] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03944] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03945] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03946] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03947] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03947] Fake format
d3d      D         d3d_disp.cpp:1364 real_choose_bitmap_format        [   0.03948] Alpha doesn't match
d3d      D         d3d_disp.cpp:1371 real_choose_bitmap_format        [   0.03949] Adapter format is 23
d3d      D         d3d_disp.cpp:1374 real_choose_bitmap_format        [   0.03950] Found a format
d3d      I         d3d_disp.cpp:2448 _al_d3d_create_bitmap            [   0.03951] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.03971] added dtor for object 040E4338, func 5210256D
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03984] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03985] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03986] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03987] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03988] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03989] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03989] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03990] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.03991] Fake format
d3d      D         d3d_disp.cpp:1364 real_choose_bitmap_format        [   0.03992] Alpha doesn't match
d3d      D         d3d_disp.cpp:1371 real_choose_bitmap_format        [   0.03993] Adapter format is 23
d3d      D         d3d_disp.cpp:1374 real_choose_bitmap_format        [   0.03993] Found a format
d3d      I         d3d_disp.cpp:2448 _al_d3d_create_bitmap            [   0.03994] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.04020] added dtor for object 040E8488, func 5210256D
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.04028] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.04030] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.04030] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.04031] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.04032] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.04033] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.04034] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.04035] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.04035] Fake format
d3d      D         d3d_disp.cpp:1364 real_choose_bitmap_format        [   0.04036] Alpha doesn't match
d3d      D         d3d_disp.cpp:1371 real_choose_bitmap_format        [   0.04037] Adapter format is 23
d3d      D         d3d_disp.cpp:1374 real_choose_bitmap_format        [   0.04038] Found a format
d3d      I         d3d_disp.cpp:2448 _al_d3d_create_bitmap            [   0.04039] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.04059] added dtor for object 040EC5D8, func 5210256D
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.04066] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.04067] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.04068] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.04069] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.04070] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.04071] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.04071] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.04072] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.04073] Fake format
d3d      D         d3d_disp.cpp:1364 real_choose_bitmap_format        [   0.04074] Alpha doesn't match
d3d      D         d3d_disp.cpp:1371 real_choose_bitmap_format        [   0.04075] Adapter format is 23
d3d      D         d3d_disp.cpp:1374 real_choose_bitmap_format        [   0.04075] Found a format
d3d      I         d3d_disp.cpp:2448 _al_d3d_create_bitmap            [   0.04076] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.04099] added dtor for object 040F0728, func 5210256D
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.04107] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.04109] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.04110] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.04111] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.04111] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.04112] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.04113] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.04114] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.04115] Fake format
d3d      D         d3d_disp.cpp:1364 real_choose_bitmap_format        [   0.04115] Alpha doesn't match
d3d      D         d3d_disp.cpp:1371 real_choose_bitmap_format        [   0.04116] Adapter format is 23
d3d      D         d3d_disp.cpp:1374 real_choose_bitmap_format        [   0.04117] Found a format
d3d      I         d3d_disp.cpp:2448 _al_d3d_create_bitmap            [   0.04118] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.27114] added dtor for object 040F4938, func 5210256D
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.27135] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.27137] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.27138] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.27138] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.27143] Fake format
