system   D            wsystem.c:583  maybe_parent_dir                 [   0.00508] Also searching C:\Users\polack-admin\Documents\Visual Studio 2012\Projects\Moving Custom Sprite\
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.06189] _al_d3d_sync_bitmap (video) ref count == 2
dtor     D               dtor.c:214  _al_unregister_destructor        [  40.66466] removed dtor for object 0264EF40
dtor     D               dtor.c:214  _al_unregister_destructor        [  40.68004] removed dtor for object 0264F0C0
d3d      I         d3d_disp.cpp:1110 d3d_destroy_display              [  40.68013] destroying display 02644048 (current 00000000)
bitmap   D             bitmap.c:874  _al_convert_to_memory_bitmap     [  40.68016] converting display bitmap 0264DDF0 to memory bitmap
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [  40.68025] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [  40.68027] _al_d3d_sync_bitmap (video) ref count == 2
d3d      W          d3d_bmp.cpp:725  d3d_destroy_bitmap               [  40.68029] d3d_destroy_bitmap: Release video texture failed.
bitmap   D             bitmap.c:874  _al_convert_to_memory_bitmap     [  40.68049] converting display bitmap 0264CC50 to memory bitmap
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [  40.68057] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [  40.68059] _al_d3d_sync_bitmap (video) ref count == 2
d3d      W          d3d_bmp.cpp:725  d3d_destroy_bitmap               [  40.68061] d3d_destroy_bitmap: Release video texture failed.
bitmap   D             bitmap.c:874  _al_convert_to_memory_bitmap     [  40.68083] converting display bitmap 0264BA70 to memory bitmap
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [  40.68090] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [  40.68092] _al_d3d_sync_bitmap (video) ref count == 2
d3d      W          d3d_bmp.cpp:725  d3d_destroy_bitmap               [  40.68094] d3d_destroy_bitmap: Release video texture failed.
bitmap   D             bitmap.c:874  _al_convert_to_memory_bitmap     [  40.68101] converting display bitmap 0264A810 to memory bitmap
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [  40.68108] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [  40.68111] _al_d3d_sync_bitmap (video) ref count == 2
d3d      W          d3d_bmp.cpp:725  d3d_destroy_bitmap               [  40.68112] d3d_destroy_bitmap: Release video texture failed.
d3d      D         d3d_disp.cpp:1096 d3d_destroy_display_internals    [  40.68124] waiting for display 02644048's thread to end
d3d      W         d3d_disp.cpp:812  d3d_destroy_device               [  40.68942] d3d_destroy_device: ref count not 0
d3d      I         d3d_disp.cpp:1707 d3d_display_thread_proc          [  40.69680] d3d display thread exits
dtor     D               dtor.c:214  _al_unregister_destructor        [  40.69738] removed dtor for object 0264A810
dtor     D               dtor.c:214  _al_unregister_destructor        [  40.69740] removed dtor for object 0264BA70
dtor     D               dtor.c:214  _al_unregister_destructor        [  40.69742] removed dtor for object 0264CC50
dtor     D               dtor.c:214  _al_unregister_destructor        [  40.69743] removed dtor for object 0264DDF0
